station_name,distance
Belsize Park,3489.9517761554334
Woodside,3489.9820644855804
St. James's Park,3489.987908151386
Brixton,3490.186044250514
Norwood Junction,3490.231363755384
Green Park,3490.2631837436734
Pimlico,3490.3325364774178
Stockwell,3490.3520539053534
Nine Elms,3490.4096273311134
Blackhorse Lane,3490.4105216003572
Bond Street,3490.448450658053
Tulse Hill,3490.4783567892237
Baker Street,3490.5538762069973
Hampstead,3490.6100268143005
Mill Hill East,3490.647306160075
Coombe Lane,3490.6843291746504
West Norwood,3490.6901011704535
Victoria,3490.76168203021
Addiscombe,3490.7788704011746
Swiss Cottage,3490.983977668642
Marylebone,3491.0081277558716
Marble Arch,3491.0205202911397
Hyde Park Corner,3491.072752871114
Golders Green,3491.0835547913252
Clapham North,3491.0931874285743
Finchley Road,3491.110785393972
St. Johns Wood,3491.203202580056
South Hampstead,3491.2221524156757
Finchley Road and Frognal,3491.225040002045
Clapham High Street,3491.2365634640123
Sandilands,3491.2794128694986
Battersea Power Station,3491.3019481375563
Selhurst,3491.3699424357783
Edgware Road (Circle/District/Hammersmith and City),3491.371792473789
Wandsworth Road,3491.4746443787276
Edgware Road (Bakerloo),3491.531894639709
Knightsbridge,3491.6501126973044
Lebanon Road,3491.722027782613
Sloane Square,3491.7332109082295
Clapham Common,3491.758824555782
Battersea Park,3491.7831689143322
Thornton Heath,3491.8030628920196
West Hampstead,3491.81114635497
Queenstown Road,3491.8261747174206
West Hampstead Thameslink,3491.8570747702393
Lloyd Park,3491.880176593436
Streatham Hill,3491.989706976852
Paddington,3492.0733698730323
Brent Cross,3492.106497680827
Maida Vale,3492.1275735322547
East Croydon,3492.147479287776
Lancaster Gate,3492.1908542407273
Kilburn High Road,3492.2096616786366
Warwick Avenue,3492.2373442363505
Kilburn Park,3492.477362509134
Wellesley Road,3492.527631690318
Brondesbury,3492.6538783391693
George Street,3492.6602401389105
West Croydon,3492.6935969686247
South Croydon,3492.702385556282
Kilburn,3492.7039044095914
Hendon Central,3492.7160347356785
Clapham South,3492.7428425280254
Norbury,3492.7486208880455
Cricklewood,3492.765932015971
Streatham,3492.786879804777
South Kensington,3492.792504345073
Royal Oak,3492.804988096635
Centrale,3492.9236121669046
Bayswater,3492.987824555134
Queensway,3493.021886309222
Mill Hill Broadway,3493.0271004174056
Church Street,3493.0347601703093
Reeves Corner,3493.104234315206
Queens Park,3493.2090631529504
Streatham Common,3493.2772656531847
Brondesbury Park,3493.3401167345282
Sanderstead,3493.3534403454955
Gloucester Road,3493.397273153196
Balham,3493.420451250994
Elstree and Borehamwood,3493.4228870382412
Westbourne Park,3493.478219789629
Hendon,3493.60316584004
Notting Hill Gate,3493.6131739616985
Wandle Park,3493.6232252695295
High Street Kensington,3493.671037319345
Clapham Junction,3493.726450523853
Purley Oaks,3493.7338040172394
Willesden Green,3493.756437487619
Colindale,3493.7635816499983
Waddon Marsh,3493.784002298184
Upper Warlingham,3493.8675052911462
Ampere Way,3493.9433665120137
Wandsworth Common,3493.99669938378
Whyteleafe South,3494.0273807706853
Whyteleafe,3494.058211196052
Imperial Wharf,3494.1200634546976
Waddon,3494.1293302709887
Therapia Lane,3494.1576629646943
Tooting Bec,3494.16331429864
Earls Court,3494.216530220305
Ladbroke Grove,3494.228002004787
